Season_End_Year,Wk,Date,Home,HomeGoals,AwayGoals,Away,FTR,B365H,B365D,B365A
2011,5,2010-10-03,Lille,3,1,Montpellier,H,1.7,3.4,5.25
2011,5,2010-10-03,Paris SG,0,0,Nice,D,1.62,3.6,6.0
2011,5,2010-10-03,Rennes,3,1,Toulouse,H,2.0,3.1,4.1
2011,5,2010-10-16,Toulouse,0,2,Paris SG,A,2.75,3.0,2.75
2011,5,2010-10-16,Auxerre,0,1,Bordeaux,A,2.5,3.0,3.0
2011,5,2010-10-16,Brest,0,0,Arles,D,1.57,3.6,6.5
2011,5,2010-10-16,Caen,0,0,Monaco,D,2.25,3.0,3.5
2011,5,2010-10-16,Marseille,1,0,Nancy,H,1.44,4.2,7.5
2011,5,2010-10-16,Montpellier,2,0,Sochaux,H,2.0,3.2,4.0
2011,5,2010-10-17,Nice,2,1,St Etienne,H,2.8,3.0,2.7
2011,5,2010-10-17,Lyon,3,1,Lille,H,2.1,3.2,3.6
2011,5,2010-10-17,Lorient,2,1,Valenciennes,H,2.0,3.2,4.0
2011,5,2010-10-17,Lens,0,0,Rennes,D,3.2,3.0,2.4
2011,6,2010-10-23,Bordeaux,0,2,Brest,A,1.6,3.6,6.0
2011,6,2010-10-23,Lens,1,0,Nice,H,2.15,3.1,3.6
2011,6,2010-10-23,Monaco,0,2,Valenciennes,A,2.0,3.2,3.9
2011,6,2010-10-23,Nancy,1,0,Lorient,H,2.35,3.0,3.25
2011,6,2010-10-23,Rennes,0,1,Montpellier,A,1.83,3.3,4.6
2011,6,2010-10-23,Sochaux,1,3,Toulouse,A,2.25,3.0,3.5
2011,6,2010-10-23,St Etienne,1,1,Caen,D,1.8,3.3,4.75
2011,6,2010-10-24,Lille,1,3,Marseille,A,2.5,3.1,2.9
2011,6,2010-10-24,Paris SG,2,3,Auxerre,A,1.75,3.4,5.0
2011,6,2010-10-24,Arles,1,1,Lyon,D,7.0,4.0,1.5
2011,6,2010-10-30,Auxerre,2,0,Nice,H,1.95,3.1,4.33
2011,6,2010-10-30,Brest,2,0,St Etienne,H,2.63,2.88,3.0
2011,6,2010-10-30,Caen,2,3,Nancy,A,2.05,3.0,4.0
2011,6,2010-10-30,Lorient,2,0,Arles,H,1.5,4.0,6.5
2011,6,2010-10-30,Lyon,2,1,Sochaux,H,1.5,4.0,6.5
2011,6,2010-10-30,Toulouse,1,1,Lens,D,1.75,3.3,5.25
2011,6,2010-10-31,Montpellier,1,1,Paris SG,D,2.6,2.9,3.0
2011,6,2010-10-31,Valenciennes,1,1,Lille,D,3.4,3.0,2.3
2011,7,2010-11-02,Monaco,2,2,Bordeaux,D,2.8,2.9,2.75
2011,7,2010-11-06,St Etienne,1,2,Lorient,A,1.91,3.25,4.33
2011,7,2010-11-06,Sochaux,1,1,Auxerre,D,2.25,3.0,3.5
2011,7,2010-11-06,Arles,3,2,Caen,H,3.25,3.0,2.38
2011,7,2010-11-06,Bordeaux,1,1,Valenciennes,D,1.73,3.3,5.5
