Season_End_Year,Wk,Date,Home,HomeGoals,AwayGoals,Away,FTR,B365H,B365D,B365A
2012,8,2012-07-08,Atletico-MG,2,0,Portuguesa,H,1.39,4.4,7.52
2012,8,2012-07-08,Sao Paulo,3,1,Coritiba,H,1.46,4.07,6.85
2012,8,2012-07-08,Fluminense,1,0,Flamengo RJ,H,1.96,3.35,3.67
2012,8,2012-07-08,Figueirense,1,1,Vasco,D,2.31,3.2,2.99
2012,8,2012-07-08,Atletico GO,0,1,Nautico,A,1.65,3.78,4.86
2012,8,2012-07-08,Santos,4,2,Gremio,H,1.87,3.38,3.99
2012,8,2012-07-11,Corinthians,1,3,Botafogo RJ,A,1.89,3.32,3.94
2012,9,2012-07-14,Corinthians,2,1,Nautico,H,1.41,4.31,7.41
2012,9,2012-07-14,Figueirense,3,4,Atletico-MG,A,2.47,3.24,2.7
2012,9,2012-07-15,Palmeiras,1,1,Sao Paulo,D,2.6,3.16,2.64
2012,9,2012-07-15,Vasco,1,0,Atletico GO,H,1.52,3.92,5.97
2012,9,2012-07-15,Sport Recife,2,1,Portuguesa,H,2.06,3.32,3.43
2012,9,2012-07-15,Internacional,0,0,Santos,D,1.9,3.34,3.91
2012,9,2012-07-15,Botafogo RJ,1,1,Fluminense,D,2.57,3.24,2.61
2012,9,2012-07-15,Cruzeiro,1,3,Gremio,A,1.93,3.38,3.75
2012,9,2012-07-15,Bahia,1,2,Flamengo RJ,A,2.25,3.26,3.02
2012,9,2012-07-15,Ponte Preta,4,1,Coritiba,H,2.32,3.21,2.98
2012,10,2012-07-18,Gremio,3,1,Sport Recife,H,1.37,4.41,7.96
2012,10,2012-07-18,Santos,0,0,Botafogo RJ,D,2.21,3.28,3.1
2012,10,2012-07-19,Flamengo RJ,0,3,Corinthians,A,2.38,3.2,2.89
2012,10,2012-07-19,Atletico-MG,3,1,Internacional,H,1.72,3.51,4.64
2012,10,2012-07-19,Sao Paulo,0,1,Vasco,A,1.86,3.39,4.04
2012,10,2012-07-19,Nautico,3,0,Ponte Preta,H,2.15,3.28,3.2
2012,10,2012-07-19,Portuguesa,0,2,Cruzeiro,A,2.44,3.2,2.78
2012,10,2012-07-20,Atletico GO,3,2,Figueirense,H,1.98,3.34,3.63
2012,10,2012-07-20,Coritiba,1,1,Palmeiras,D,1.79,3.5,4.21
2012,10,2012-07-20,Fluminense,4,0,Bahia,H,1.34,4.57,8.98
2012,11,2012-07-21,Sport Recife,1,4,Atletico-MG,A,3.3,3.3,2.09
2012,11,2012-07-21,Vasco,2,0,Santos,H,1.69,3.56,4.76
2012,11,2012-07-22,Bahia,2,2,Coritiba,D,2.27,3.23,3.0
2012,11,2012-07-22,Ponte Preta,1,2,Fluminense,A,3.04,3.27,2.22
2012,11,2012-07-22,Botafogo RJ,0,1,Gremio,A,1.98,3.37,3.58
2012,11,2012-07-22,Palmeiras,3,0,Nautico,H,1.53,3.8,6.11
2012,11,2012-07-22,Internacional,4,1,Atletico GO,H,1.57,3.7,5.75
2012,11,2012-07-22,Figueirense,0,2,Sao Paulo,A,2.4,3.22,2.82
2012,11,2012-07-22,Cruzeiro,1,0,Flamengo RJ,H,1.77,3.53,4.27
2012,11,2012-07-22,Corinthians,1,1,Portuguesa,D,1.57,3.74,5.7
2012,12,2012-07-25,Figueirense,0,1,Internacional,A,2.51,3.21,2.67
2012,12,2012-07-25,Ponte Preta,1,1,Sport Recife,D,1.71,3.61,4.56
2012,12,2012-07-26,Gremio,1,0,Fluminense,H,1.79,3.45,4.26
2012,12,2012-07-26,Atletico GO,4,3,Sao Paulo,H,2.68,3.2,2.5
2012,12,2012-07-26,Corinthians,2,0,Cruzeiro,H,1.92,3.28,3.83
2012,12,2012-07-26,Nautico,3,4,Coritiba,A,2.14,3.32,3.19
2012,12,2012-07-26,Vasco,1,0,Botafogo RJ,H,2.29,3.3,2.92
2012,12,2012-07-27,Atletico-MG,2,0,Santos,H,1.49,3.9,6.58
